userId,count_user_logs,max_session,avg_length,page_logout,page_settings,page_nextsong,page_cancel,page_save_settings,page_upgrade,page_thumbs_down,page_roll_advert,page_add_to_playlist,page_thumbs_up,page_add_friend,page_submit_upgrade,page_error,page_help,page_submit_downgrade,page_home,page_about,gender_F,gender_M,label
100010,381,111,175,5,0,275,0,0,2,5,52,7,17,4,0,0,2,0,11,1,1,0,0
200002,474,157,198,5,3,387,0,0,2,6,7,8,21,4,1,0,2,0,20,3,0,1,1
125,11,10,189,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
51,2464,619,212,24,12,2111,1,1,0,21,0,52,100,28,0,1,12,0,75,2,0,1,1
124,4825,530,209,59,20,4079,0,6,0,41,4,118,171,74,0,6,23,0,176,7,1,0,1
7,201,92,189,3,3,150,0,1,2,1,16,5,7,1,0,1,1,0,10,0,0,1,0
54,3437,581,206,36,17,2841,1,3,1,29,47,72,163,33,1,1,17,1,129,5,1,0,1
15,2278,423,209,27,16,1914,0,2,0,14,1,59,81,31,0,2,8,0,93,2,0,1,1
155,1002,334,198,14,5,820,0,0,2,3,8,24,58,11,1,3,9,0,30,2,1,0,1
132,2304,521,209,34,17,1928,0,4,1,17,2,38,96,41,1,3,16,0,83,4,1,0,1
154,118,69,175,2,0,84,0,0,0,0,10,1,11,3,0,0,1,0,6,0,1,0,0
100014,310,94,218,3,1,257,1,0,0,3,2,7,17,6,0,0,2,0,7,0,0,1,1
101,2149,889,208,24,9,1797,1,2,1,16,8,61,86,29,1,3,12,0,74,2,0,1,1
11,848,196,188,14,6,647,0,2,9,9,39,20,40,6,2,1,3,1,37,7,1,0,1
138,2469,700,207,18,17,2070,0,4,1,24,17,67,95,41,1,1,13,0,71,8,0,1,1
300017,4428,296,202,41,23,3632,0,3,0,28,11,113,303,63,0,5,27,0,151,3,1,0,1
29,3603,632,209,41,19,3028,1,4,5,22,22,89,154,47,1,0,28,0,121,2,0,1,1
69,1342,369,213,10,3,1125,0,1,1,9,3,33,72,12,1,4,7,0,49,3,1,0,1
100021,319,185,180,7,0,230,1,0,2,5,30,7,11,7,0,2,0,0,15,1,0,1,1
42,4257,306,207,44,28,3573,0,7,1,25,10,104,166,52,1,7,20,0,176,6,1,0,1
112,292,107,181,3,4,215,0,3,2,3,21,7,9,7,0,0,1,0,16,1,0,1,0
87,1003,120,193,19,8,767,1,0,7,5,50,19,32,27,1,0,8,0,56,1,0,1,1
73,457,167,206,7,2,377,1,1,1,7,1,11,14,11,1,1,4,0,15,1,1,0,1
64,68,44,169,3,0,46,0,0,0,0,1,1,4,5,0,0,1,0,7,0,0,1,0
200010,317,89,191,9,1,237,0,0,3,7,17,5,14,8,0,1,1,0,14,0,1,0,0
3,254,138,214,3,0,214,1,0,0,3,1,4,14,1,0,0,1,0,8,1,0,1,1
30,1775,315,202,20,13,1417,0,1,14,17,72,47,62,25,1,1,5,1,70,3,0,1,1
113,1895,213,211,18,8,1585,0,3,4,12,1,50,82,32,1,3,7,0,72,1,1,0,1
34,73,33,177,3,0,53,0,0,0,0,3,4,2,0,0,0,0,0,8,0,0,1,0
133,44,45,182,2,0,32,0,0,0,0,1,3,2,1,0,0,0,0,3,0,0,1,0
59,872,286,206,9,4,724,0,0,3,9,11,14,30,16,2,4,3,1,33,0,0,1,1
146,837,249,195,9,4,650,0,0,11,9,56,13,38,9,0,1,6,0,30,1,0,1,0
139,457,277,208,5,0,377,0,0,1,5,1,13,18,6,1,1,1,0,18,1,0,1,1
8,334,160,189,8,0,251,0,0,3,3,18,6,16,5,0,2,0,0,21,1,1,0,0
28,1781,337,204,24,6,1457,1,0,3,22,26,50,79,20,1,1,7,0,65,3,1,0,1
22,40,34,185,0,0,28,0,0,0,0,4,0,3,3,0,0,0,0,2,0,1,0,0
300018,2046,359,202,24,12,1640,0,2,1,24,3,58,132,35,1,2,16,0,84,3,0,1,1
300012,786,297,202,4,5,642,0,1,2,7,4,14,52,16,1,0,7,0,28,0,0,1,1
100022,964,219,174,14,8,681,1,2,7,20,115,14,45,11,0,1,6,0,37,1,1,0,1
85,4370,647,208,54,25,3616,0,3,7,38,33,108,192,58,3,2,24,2,157,6,0,1,1
52,1363,365,196,20,11,1086,0,2,3,9,29,33,54,40,1,0,7,0,54,4,1,0,1
35,2005,309,202,25,7,1610,0,1,6,14,55,64,71,31,2,3,9,2,90,5,1,0,1
16,819,237,205,9,2,675,0,0,3,4,12,19,42,10,1,0,8,0,26,1,1,0,1
300008,1672,379,208,17,4,1393,0,0,0,16,1,43,111,23,0,3,9,0,48,2,1,0,1
71,329,186,199,5,0,264,0,0,3,4,6,5,14,9,1,1,1,0,12,1,0,1,1
98,2891,507,211,39,13,2401,0,4,2,22,30,58,115,45,1,3,15,0,115,3,0,1,1
300013,411,202,206,2,2,335,0,0,0,2,0,7,38,8,0,0,2,0,12,0,0,1,1
99,614,148,208,9,3,505,0,0,2,5,10,11,27,12,1,0,1,0,24,2,1,0,1
47,251,78,195,4,3,202,0,0,0,2,15,3,10,0,0,0,1,0,11,0,0,1,0
100008,940,594,203,7,3,772,0,0,4,6,20,30,37,17,0,0,6,1,24,3,1,0,1
100025,623,395,191,7,7,490,1,3,1,7,30,9,20,3,0,1,5,1,31,1,1,0,1
110,235,96,197,2,1,178,0,0,0,2,17,3,14,7,0,0,0,0,10,1,0,1,0
107,315,210,196,5,1,246,0,1,4,2,19,10,14,2,0,0,0,0,11,0,1,0,0
300006,379,204,176,7,2,279,0,0,3,3,14,7,23,17,1,0,3,0,17,1,0,1,1
300002,1961,675,205,12,10,1610,0,1,3,11,4,57,140,28,2,1,16,1,55,2,1,0,1
96,2176,609,207,24,13,1802,0,1,4,24,17,52,92,40,1,2,9,1,71,3,1,0,1
43,240,143,179,4,5,177,0,0,1,2,18,4,12,3,0,0,0,0,14,0,1,0,0
300007,143,142,196,0,1,111,1,1,0,1,2,4,11,4,0,0,1,0,3,0,0,1,1
5,218,74,181,4,1,161,0,1,2,0,11,8,11,3,0,0,2,0,14,0,0,1,0
100,3214,312,209,35,11,2682,0,5,1,27,25,61,148,49,1,3,18,1,105,12,0,1,1
100006,44,45,133,1,1,26,1,0,0,2,3,1,2,4,0,0,0,0,2,0,1,0,1
18,513,184,211,7,5,429,1,1,0,1,0,14,20,10,0,0,1,0,19,1,0,1,1
70,1775,233,209,17,7,1490,1,4,2,12,4,41,90,26,1,2,9,0,53,2,0,1,1
100005,216,73,171,3,2,154,1,0,4,3,18,3,7,3,0,0,2,0,15,0,0,1,1
27,291,82,182,7,1,220,0,1,1,2,21,4,8,7,0,0,1,0,18,0,0,1,0
61,1976,652,205,22,9,1622,0,1,6,11,49,50,78,26,2,2,10,2,75,1,0,1,1
75,957,406,210,5,3,812,0,0,0,4,1,27,48,21,0,1,2,0,22,3,1,0,1
131,1863,249,209,18,10,1564,0,2,1,20,5,51,72,26,1,4,13,2,54,5,0,1,1
126,3102,455,209,39,17,2577,0,4,3,21,35,72,135,33,1,2,15,0,119,7,0,1,1
140,6880,669,204,89,24,5664,0,5,10,75,87,148,277,143,4,7,34,3,251,9,1,0,1
17,1102,393,204,15,5,927,1,0,4,13,4,30,40,12,1,0,5,0,30,2,1,0,1
26,337,85,193,6,4,255,0,0,1,1,22,8,12,6,1,0,4,0,17,0,0,1,0
100007,520,201,200,5,3,423,1,1,0,6,5,9,19,17,0,0,3,0,20,0,1,0,1
120,1842,772,213,19,9,1571,0,1,0,13,1,44,81,22,0,1,5,0,51,5,1,0,1
200007,76,48,207,1,0,65,0,0,0,0,0,0,2,1,0,1,2,0,4,0,1,0,0
46,1120,291,205,13,10,918,0,2,1,11,13,30,44,18,1,0,3,0,47,3,1,0,1
300004,262,176,194,3,2,204,0,1,1,2,10,3,17,2,1,0,3,1,9,2,1,0,1
147,672,203,202,12,1,547,0,0,2,3,11,12,28,15,1,0,7,0,27,0,0,1,1
300001,2168,422,199,22,17,1749,1,3,2,17,6,69,148,30,1,3,11,0,78,1,1,0,1
78,324,88,192,9,2,254,0,0,1,3,16,9,11,2,0,0,1,0,16,0,1,0,0
300015,3051,390,202,29,16,2524,0,5,2,17,6,64,193,47,2,4,12,1,103,4,0,1,1
